,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
803,646652612548677632,145.16305534606758,26.18294245464195,-3.3276507600156857,-12.421021763480436,1,0,18.0965995788574,17.6284008026123,-49.93568780533013,-3.1459584177653674,-6.478525799624079,-1.6697788599487986
804,646878115511490432,148.12158730512132,26.584523863775118,-3.224455753459295,-12.31055122644523,1,0,18.9139995574951,18.3320007324219,-48.0412347803603,-5.04728519492517,-6.160582219913387,-2.032919226460581
805,646787783758760320,145.97848161638728,26.717967959950293,-5.258838710490982,-11.773917442626438,1,0,18.3796005249023,17.2723007202148,-49.073797843093985,-3.4267261738793606,-7.030588442683331,0.1837411926104541
806,647373514219196672,147.86788564379486,28.36959713598762,-5.465255864369281,-11.608877826672547,1,0,19.6039009094238,18.9375991821289,-46.7457062473149,-3.794772299320208,-6.916584910131885,0.2277547945942024
807,647123925079270144,147.20583788181102,26.97775350967442,-4.439471009772489,-11.27296622306141,1,0,20.6298007965088,18.6861991882324,-48.215475947912694,-4.156892911228421,-6.089446284719659,-0.3268703112720636
808,647248857088369152,146.82937746347136,27.798344692608183,-5.064207703662481,-12.588893165236295,1,0,19.8474006652832,19.2031002044678,-47.752876683862894,-3.4005643176095983,-7.515912671461096,-0.5508912183633122
809,647402891795127936,145.02681523808042,26.206527193605226,-6.149065605412805,-11.464866797851165,1,0,18.1331005096436,17.6907997131348,-49.987465769390326,-3.032699126122885,-7.341150121008884,1.1999827184952747
810,647329842991291264,147.25128284330998,27.851531399786683,-4.7756000484492604,-12.306592761813603,1,0,20.1723003387451,18.5408992767334,-47.48779112180284,-3.668979899670251,-7.098167291041518,-0.668950866571618
811,647171547676857600,147.08136259865694,27.34645639625399,-5.3197361358304835,-13.48170675425632,1,0,20.3654003143311,19.5769996643066,-47.984355920577684,-3.848589821926809,-8.385364090908226,-0.9132826629016831
812,647081319003798528,148.23820795644875,27.424431836472067,-4.3403308387233235,-12.120541303910707,1,0,20.9293003082275,20.2884998321533,-47.30527108218865,-4.624850516618581,-6.653904890720438,-1.0334634615388019
813,647313350319112576,147.99423385834044,27.976428268007307,-5.346315488242324,-11.927000761393797,1,0,22.051700592041,19.9108009338379,-46.993594254663265,-4.120089664624928,-7.102937932590489,-0.07809186992617435
814,647211477987847808,146.6523496429552,27.46868514771339,-5.14364579883914,-11.65656730170071,1,0,17.1161994934082,16.5858001708984,-48.112031600599096,-3.469435534618703,-6.826085558587657,0.08441531827330467
815,647193847147320832,146.8177882331652,27.287543673928063,-3.3174738528524914,-12.041351357604169,1,0,21.3852005004883,19.5723991394043,-48.17115729313514,-3.6950723266704633,-6.051952141535663,-1.6370367678557907
816,647082766407639296,148.33723884020117,27.493767884184468,-3.5984056051693165,-11.326274423713139,1,0,20.9146003723145,20.0319995880127,-47.19661721149913,-4.6531506894445815,-5.566670027138755,-1.1575487076330029
817,647107398045334912,148.2869522662585,27.773191249339956,-5.600223326413762,-11.451415990217042,1,0,19.4053993225098,18.5188999176025,-47.0000201532236,-4.44905476748138,-6.869985120147449,0.37215461903014024
818,647188663121627008,146.6848227182777,27.198930611155895,-3.486181272572052,-11.855499606675375,1,0,19.752799987793,17.7936992645264,-48.31285140580354,-3.65226519101237,-6.010893739344567,-1.3765074083248108
819,647271813688411776,147.560538977436,27.580842433520786,-5.563983527497717,-12.929614917910031,1,0,18.7754001617432,17.5034999847412,-47.54164924899521,-4.050209772746987,-8.061629420053167,-0.4514073098792166
820,647267209483218432,147.83060962747962,27.656024864849023,-5.652161010170945,-13.357386797633291,1,0,19.5428009033203,20.0021991729736,-47.33759555801828,-4.196814577663402,-8.443923138647934,-0.6734430078060848
821,647121760416194560,147.09580675118872,26.91019857026601,-3.5458118949289608,-11.21297504031278,1,0,21.3010997772217,19.5396995544434,-48.32840744755828,-4.118193490592482,-5.516213285341496,-0.9978696584419069
822,647087881713880576,148.58079026864942,27.5845117617117,-6.562795826513908,-12.161509299267705,1,0,18.8194999694824,17.2388000488281,-46.99313968352351,-4.770401022843594,-8.01175114438166,0.6702938446361395
823,647185330227005056,146.71305654548937,27.144091399253288,-5.55833057488627,-11.308156112373007,1,0,21.1949996948242,19.573299407959,-48.34226302893353,-3.704960281232226,-6.795701440660541,0.613910649531678
824,647207797203932160,146.58998781211838,27.29644697578731,-3.0757305282486636,-12.055795575601948,1,0,18.2602005004883,17.4267997741699,-48.28400046488764,-3.5266118129541506,-5.932230377710533,-1.8138126912388677
825,782641967314148096,163.9118286566544,44.31854849575034,-3.045448708838274,-13.716609882336812,1,0,15.1691999435425,14.6494998931885,-26.292967235467643,-2.700243835485908,-5.737971902939118,-5.145734003719389
826,782575893537040000,162.52777557253748,44.00193777507067,-5.112178565117355,-11.675310691225729,1,0,16.5666999816895,15.8936996459961,-27.23771396169502,-2.2584165417029003,-5.972050792890083,-2.048837705582216
